id,time,value
sp95,2021-09-05,-0.008223730557612385
sp95,2021-09-12,-0.005797117684325892
sp95,2021-09-19,0.0033167526259938462
sp95,2021-09-26,0.002480365058332046
sp95,2021-10-03,0.009042396178448375
sp95,2021-10-10,0.0032679767646159874
sp95,2021-10-17,0.016181582851241827
sp95,2021-10-24,0.01750243564977272
sp95,2021-10-31,0.0031496089028962837
sp95,2021-11-07,0.0015710922320412157
sp95,2021-11-14,0
sp95,2021-11-21,0
sp95,2021-11-28,0
sp95,2021-12-05,-0.015025984566224393
sp95,2021-12-12,-0.005593302636511255
sp95,2021-12-19,0.0039984059666953176
sp95,2021-12-26,-0.005602255548669888
sp95,2022-01-02,0
sp95,2022-01-09,8.022463326379237e-4
sp95,2022-01-16,0.004800009216031964
sp95,2022-01-23,0.006364381068851177
sp95,2022-01-30,0.010256500167189153
sp95,2022-02-06,0.01943318053849097
sp95,2022-02-13,0.00690451534654446
sp95,2022-02-20,0.007616183045308422
sp95,2022-02-27,0.003786449052503138
sp95,2022-03-06,0.02242246405583237
sp95,2022-03-13,0.06162407871657971
sp95,2022-03-20,0.01036995120609685
sp95,2022-03-27,0.00958255108099626
sp95,2022-04-03,0.009491596681571512
sp95,2022-04-10,-0.014271394105332846
sp95,2022-04-17,-0.013090093905805067
sp95,2022-04-24,0
sp95,2022-05-01,0.001386001607877052
sp95,2022-05-08,0.015120562993825248
sp95,2022-05-15,0.012877168790203286
sp95,2022-05-22,0.01801850550267836
sp95,2022-05-29,0.012487838918205374
sp95,2022-06-05,0.024517357075348856
sp95,2022-06-12,0.016435262485912316
sp95,2022-06-19,0.014317082399492032
sp95,2022-06-26,-6.182380413300992e-4
sp95,2022-07-03,-0.001237623920350095
sp95,2022-07-10,-0.011208087441744508
sp95,2022-07-17,-0.006281427688603292
sp95,2022-07-24,-0.0050537062707668445
sp95,2022-07-31,-0.014030842421643874
sp95,2022-08-07,-0.01683977617631449
sp95,2022-08-14,-0.007210781817361789
sp95,2022-08-21,-0.007263155072473104
sp95,2022-08-28,0
sp95,2022-09-04,-0.017380116629916897
sp95,2022-09-11,-0.02112514675319055
sp95,2022-09-18,-0.024047159782834338
sp95,2022-09-25,-0.01800952686734103
sp95,2022-10-02,-0.014907288145800779
sp95,2022-10-09,-0.010112198721218602
sp95,2022-10-16,5.890148896549041e-4
sp95,2022-10-23,-0.006202028149431493
sp95,2022-10-30,-0.006166209500858
sp95,2022-11-06,-4.4722719886747253e-4
sp95,2022-11-13,-4.4742730052915736e-4
sp95,2022-11-20,-0.0011194448723046424
sp95,2022-11-27,0.0053619431413854945
sp95,2022-12-04,-0.013082831539134365
sp95,2022-12-11,-0.0294767828796616
sp95,2022-12-18,-0.024080539230930786
sp95,2022-12-25,-0.0158441339590506
residuals,2019-01-27,-0.00798263497597666
residuals,2019-02-03,0.0014798702301156053
residuals,2019-02-10,-0.004901045454791525
residuals,2019-02-17,-0.007675232370182275
residuals,2019-02-24,-5.616534108784619e-4
residuals,2019-03-03,-0.004331532646736591
residuals,2019-03-10,0.0029616085921899235
residuals,2019-03-17,-0.002468586250980516
residuals,2019-03-24,-0.002536954696625949
residuals,2019-03-31,0.008024271993027798
residuals,2019-04-07,0.012330474464163107
residuals,2019-04-14,0.011464360369803752
residuals,2019-04-21,5.77631811891679e-5
residuals,2019-04-28,-0.0011550351302044943
residuals,2019-05-05,0.0036866125091770314
residuals,2019-05-12,6.594368665846976e-4
residuals,2019-05-19,-0.0032674050118631282
residuals,2019-05-26,0.0030058145830657843
residuals,2019-06-02,0.0049462617808159436
residuals,2019-06-09,-0.005711254117975796
residuals,2019-06-16,8.834381901276408e-4
residuals,2019-06-23,0.004676999541262147
