time,canton,category,value
2020-07-26,ag,car_purchase,0.09998369836216488
2020-08-02,ag,car_purchase,0.09715833684937288
2020-08-09,ag,car_purchase,0.06760164550650147
2020-08-16,ag,car_purchase,0.1017373710252771
2020-08-23,ag,car_purchase,0.07608990832726016
2020-08-30,ag,car_purchase,0.07717377545932262
2020-09-06,ag,car_purchase,0.07820892946185418
2020-09-13,ag,car_purchase,0.0775634804955698
2020-09-20,ag,car_purchase,0.08512619385524144
2020-09-27,ag,car_purchase,0.05868714280234744
2020-10-04,ag,car_purchase,0.06147596946799125
2020-10-11,ag,car_purchase,0.05334087683633156
2020-10-18,ag,car_purchase,0.0615977522918185
2020-10-25,ag,car_purchase,0.04868877296613095
2020-11-01,ag,car_purchase,0.05321909401250432
2020-11-08,ag,car_purchase,0.06618896475010548
2020-11-15,ag,car_purchase,0.0649346016646849
2020-11-22,ag,car_purchase,0.05258582332860266
2020-11-29,ag,car_purchase,0.07342286448544359
2020-12-06,ag,car_purchase,0.06733372329408155
2020-12-13,ag,car_purchase,0.05767634536458134
2020-12-20,ag,car_purchase,0.07068275094933067
2020-12-27,ag,car_purchase,0.06448400521652412
2021-01-03,ag,car_purchase,0.060562598289286944
2021-01-10,ag,car_purchase,0.08100993440988072
2021-01-17,ag,car_purchase,0.07281395036630739
2021-01-24,ag,car_purchase,0.08280014192014114
2021-01-31,ag,car_purchase,0.07649179164589008
2021-02-07,ag,car_purchase,0.07545663764335853
2021-02-14,ag,car_purchase,0.08554025545625407
2021-02-21,ag,car_purchase,0.09373623949982741
2021-02-28,ag,car_purchase,0.06976937977062636
2021-03-07,ag,car_purchase,0.09086216485750451
2021-03-14,ag,car_purchase,0.0568482221625561
2021-03-21,ag,car_purchase,0.06337578151969622
2021-03-28,ag,car_purchase,0.07785575927275516
2021-04-04,ag,car_purchase,0.09081345172797362
2021-04-11,ag,car_purchase,0.08169191822331325
2021-04-18,ag,car_purchase,0.062352805799547384
2021-04-25,ag,car_purchase,0.08392054389935176
2021-05-02,ag,car_purchase,0.06436222239269687
2021-05-09,ag,car_purchase,0.0993504276782632
