time,price_resid,price_fitted
2019-01-27,-0.00798263497597666,0.0034143310055968316
2019-02-03,0.0014798702301156053,0.0030884337402642226
2019-02-10,-0.004901045454791525,0.0039890526875221936
2019-02-17,-0.007675232370182275,0.004018921167071779
2019-02-24,-5.616534108784619e-4,0.006041119175504119
2019-03-03,-0.004331532646736591,0.0052418649808819275
2019-03-10,0.0029616085921899235,0.0033876190864688296
2019-03-17,-0.002468586250980516,0.002468586250980516
2019-03-24,-0.002536954696625949,0.002536954696625949
2019-03-31,0.008024271993027798,9.766888659483164e-4
2019-04-07,0.012330474464163107,0.0019046413577089288
2019-04-14,0.011464360369803752,0.003441658715823524
2019-04-21,5.77631811891679e-5,0.005150581925949078
2019-04-28,-0.0011550351302044943,0.004612255514062367
2019-05-05,0.0036866125091770314,0.00233491106150894
2019-05-12,6.594368665846976e-4,0.0019101576950460528
2019-05-19,-0.0032674050118631282,0.0032674050118631282
2019-05-26,0.0030058145830657843,0.002113650523125095
2019-06-02,0.0049462617808159436,9.935096069682882e-4
2019-06-09,-0.005711254117975796,-0.0044929160562660045
2019-06-16,8.834381901276408e-4,-0.006024837690546227
2019-06-23,0.004676999541262147,-0.0063966904207887615
2019-06-30,0.005450385923667305,-0.005450385923667305
2019-07-07,-0.0036496412606362707,-0.0023926731953264344
2019-07-14,0.0071663197701539,-0.0011240053141911947
2019-07-21,0.009760431606412226,-0.0037544075462003362
2019-07-28,5.612351303328585e-4,2.938311894004523e-4
2019-08-04,0.0016740886373149935,-0.0025291549570483044
2019-08-11,-0.0013441500090316365,-0.005522829765145304
2019-08-18,-0.0061337223366190645,-0.0025168506393898433
2019-08-25,-0.012809716229755077,-0.00030809321103075597
2019-09-01,-0.004255221701790513,-0.0019258134296441295
2019-09-08,-0.0023914727456516983,6.184226357659884e-4
2019-09-15,-9.457595240287746e-4,0.001832677542256597
2019-09-22,0.004400076892076637,0.002667090331015893
2019-09-29,-0.006252732172643601,0.005372062807049934
2019-10-06,-0.0035820431590995916,0.00270059753129397
2019-10-13,-0.005977412417675316,0.001558492279639962
2019-10-20,-0.006386673696430935,1.6719562941054558e-4
2019-10-27,-0.0023022098287528983,5.180880352514952e-4
2019-11-03,-3.9132367586920506e-4,-5.019323013457522e-4
2019-11-10,-0.002794934751867649,0.0010060255091430812
2019-11-17,-0.005115135831448744,0.0015276880377928593
2019-11-24,-9.478297319929674e-4,0.0018458989436774165
2019-12-01,-5.985735185698889e-4,0.002392295972596814
2019-12-08,6.53611335086102e-5,8.302949944359006e-4
2019-12-15,-0.004219662505524585,6.322147118687001e-4
2019-12-22,-0.0036259879141230154,0.002727111449105942
2019-12-29,-0.004611281766426714,1.0473966453577142e-4
2020-01-05,-0.0019183364099978613,1.1001765321425007e-4
2020-01-12,0.00218130982563008,5.299435297458398e-4
2020-01-19,0.015009360837601347,-0.003344805072670652
2020-01-26,0.007455166719072211,-0.0038932751527115464
2020-02-02,-9.885329994521077e-4,-0.003465817349928135
2020-02-09,9.85543989875418e-4,-0.007255157003470828
2020-02-16,8.378461839960674e-4,-0.005340330152311774
2020-02-23,-0.011542014784768798,6.526149855005138e-4
2020-03-01,2.5686045579243757e-4,-0.003913171658902934
2020-03-08,-0.002727903632359894,-0.0037029866979305347
2020-03-15,-0.0072861282297559775,-0.012258467843214289
2020-03-22,3.9332954307252823e-4,-0.018411835045750835
2020-03-29,0.009509436675134594,-0.018159178254617655
2020-04-05,0.014004435258824372,-0.026632092126626303
2020-04-12,0.0037832913867757102,-0.02153523684522598
2020-04-19,0.001764844610991936,-0.012770458447594082
2020-04-26,0.01239153060995202,-0.020472382663890624
2020-05-03,0.007136378369206248,-0.01324016130722408
2020-05-10,-0.010502448141819934,0.0033339586632073395
2020-05-17,-0.013512161803156883,0.006291913829669801
2020-05-24,-0.012408178803941045,0.0144764318680001
2020-05-31,-0.010231143186067704,0.01538313809549573
2020-06-07,-0.013246619179981425,0.014273840636511428
2020-06-14,-0.004667582312936096,0.01386539881756757
2020-06-21,-0.008976666970215574,0.012023901425684524
2020-06-28,0.001069454858859596,0.007011397195079008
2020-07-05,-0.00462418941881403,0.00462418941881403
2020-07-12,-0.005608107559200424,5.652325253385085e-4
2020-07-19,-0.0012258840500737641,2.1425017522938876e-4
2020-07-26,0.004591132547338435,-0.002568887166570651
2020-08-02,0.0038363554010342215,-0.0038363554010342215
2020-08-09,0.004081943484087137,-0.0020637793278499026
2020-08-16,-5.567407623651693e-4,-0.002472034899795474
2020-08-23,-0.006026051598028636,-0.0031157083600658834
2020-08-30,0.003058981109621763,-0.0010202444197734881
2020-09-06,0.002463447961241418,-0.002463447961241418
2020-09-13,0.009429090567270404,-0.006378757749647445
2020-09-20,-0.004502591062872985,-0.0026293800743985574
2020-09-27,8.165823477267775e-4,0.0012263192820735312
2020-10-04,0.006899956385569667,-0.0018108868780984336
2020-10-11,0.004461263063766198,-0.0024328648023734705
2020-10-18,-0.0022701276065650302,0.0022701276065650302
2020-10-25,2.650697522802038e-4,-2.650697522802038e-4
2020-11-01,-0.0049822797839535185,-0.0011153000841650782
2020-11-08,0.00546524213115015,-3.813470938776823e-4
2020-11-15,-2.603713447690884e-4,-7.543420857775104e-4
2020-11-22,0.0011606092308907435,8.677890305019841e-4
2020-11-29,0.008117029944324906,9.601882067917667e-4
2020-12-06,0.0025699291327124516,0.0024375925979099036
2020-12-13,-2.3640238967515166e-4,0.0022324110363901046
2020-12-20,0.0032782068670972457,0.003676615006272353
2020-12-27,0.002422744461072758,0.003500273842049216
2021-01-03,0.0010825847253899067,-9.881681525702448e-5
2021-01-10,0.013557354636991098,1.1473333140887311e-4
2021-01-17,0.021543117005478625,0.001468444887728286
2021-01-24,0.0034819837758222386,0.0012461574201237066
2021-01-31,0.005286881178208947,0.002231951235818452
2021-02-07,0.00665125298904368,0.005447545130024375
2021-02-14,0.005445361016384089,0.003762807177478576
2021-02-21,0.002976940621782114,0.006147210267826992
2021-02-28,0.012138760350308444,0.01031391162664733
2021-03-07,-0.0030600304678321108,0.009257482796202601
2021-03-14,-0.002764454755828905,0.011551857522633248
2021-03-21,-0.0026732928558404552,0.008778850418325553
2021-03-28,3.9319501077272564e-4,0.003945206587825382
2021-04-04,-0.002778465677747281,0.005372500854793875
2021-04-11,9.625703507635638e-4,0.002485708928152547
2021-04-18,-0.001866806011694172,0.001866806011694172
2021-04-25,-5.101773654306466e-4,5.101773654306466e-4
2021-05-02,-8.424093192460608e-4,-0.0017426847528587714
2021-05-09,0.0018653498373981691,7.19744234706663e-4
2021-05-16,0.006054754671003508,-4.8730610791618105e-5
2021-05-23,0.004702564379315681,-0.004702564379315681
2021-05-30,0.004100819543741583,-0.002391417418092732
2021-06-06,0.010950836468713813,-7.553360880442929e-4
2021-06-13,-1.3940846496620816e-4,1.3940846496620816e-4
2021-06-20,-0.002312361413771583,0.002312361413771583
