time,canton,gt_1_car_t,gt_2_com_t,gt_3_cov_t,gt_4_eco_t,gt_5_ene_t,gt_6_gro_t,gt_7_hea_t,gt_8_rea_t,gt_9_res_t,gt_10_war_t,gt_1_car_m1,gt_2_com_m1,gt_3_cov_m1,gt_4_eco_m1,gt_5_ene_m1,gt_6_gro_m1,gt_7_hea_m1,gt_8_rea_m1,gt_9_res_m1,gt_10_war_m1,gt_1_car_m2,gt_2_com_m2,gt_3_cov_m2,gt_4_eco_m2,gt_5_ene_m2,gt_6_gro_m2,gt_7_hea_m2,gt_8_rea_m2,gt_9_res_m2,gt_10_war_m2
2018-08-05,ag,0.07504257604234589,0.198432256572863,0,0.03343413764101969,0.0014786464526357513,0.004176389714625446,0,0.019537009512485135,0.041456033067210234,0.055447190198004453,0.27773790802040577,0.6348951314572598,0.02345384958382878,0.13520752370870914,0,0.004064311459571938,0.0043651530915576695,0.026340356222750695,0.13381076241435932,0.07932986093160316,0.26197312147596946,0.49590236490949935,0.030516745937376143,0.15351296728633163,0,0,0.0025660021551724135,0.012033665279429251,0.11390970924636204,0.18713837046993745
2018-08-12,ag,0.08007220666641096,0.16623761395164488,0,0.05761426582755721,0,0,0,0.0060404280618311535,0.03771672045750524,0.026377630150442023,0.2643235299758352,0.6501377741445369,0.007220199167657551,0.11623910631942229,0.0014786464526357513,0.006524134215219976,0.0043651530915576695,0.037044812722948864,0.11950968942868466,0.11559294706095229,0.2722424580952016,0.5802271601268333,0.019804424296472455,0.14927499927496304,0,0.001344939060642093,0.0015337024375743163,0.027181926278240193,0.11559060217428233,0.14434653362973685
2018-08-19,ag,0.09149543554140616,0.10874867882150878,0.037375148632580256,0.057752385371653954,0,0,0,0.006417954815695601,0.024233622105203557,0.024128883833945097,0.2517007402861417,0.647615685691637,4.5617816091954023e-4,0.13559886241698327,0.0014786464526357513,0.004648298156956004,0.0010912882728894174,0.03695043103448276,0.11586026414132836,0.12395188181771184,0.28839694967588503,0.585203172479852,0.038130202140309155,0.15250699660682696,0,0.003185381985731273,0.0015337024375743163,0.02804709175584622,0.14483094813430725,0.11032398671353978
2018-08-26,ag,0.07528614169000038,0.10086256440745144,0,0.05299186508511934,0.002532575307173999,0,0,0.006701099881093935,0.020422399637619614,0.03491301762911648,0.2648350178359096,0.5337284482758621,0.037375148632580256,0.1579212827354195,0.0014786464526357513,0.004176389714625446,0,0.034449316290130795,0.11044005860370307,0.11539187302900275,0.29811217444670324,0.5891776902497028,0.027685295283392787,0.1398644543371712,0,0.005073015755053508,0.004748578700951248,0.030595397344431233,0.14116354538248116,0.07015021584035568
2018-09-02,ag,0.05740842315216141,0.16112002906592682,0.003271898533491875,0.07168404338621269,0,0,0.001203366527942925,0.002894371779627428,0.033653813487345,0.02005816057488497,0.26561442790840395,0.42545692132382085,0.037375148632580256,0.17671705069458543,0.002902236920332937,0.0010440974286563614,0,0.024043735136741975,0.09273675046713097,0.09928132916300472,0.27773790802040577,0.6348951314572598,0.02345384958382878,0.13520752370870914,0,0.004064311459571938,0.0043651530915576695,0.026340356222750695,0.13381076241435932,0.07932986093160316
2018-09-09,ag,0.06967195351156458,0.11369847403884265,0.004530321046373365,0.06909660392680027,0,0.0023595422116527943,0.0022887559453032102,0.005285374554102259,0.014939272974350264,0.013114951145117099,0.2442080520501707,0.41229067578279827,0.040647047166072134,0.1968318602998753,0.002532575307173999,0,0.001203366527942925,0.017523533491874754,0.0877390153445445,0.08569446957555706,0.2643235299758352,0.6501377741445369,0.007220199167657551,0.11623910631942229,0.0014786464526357513,0.006524134215219976,0.0043651530915576695,0.037044812722948864,0.11950968942868466,0.11559294706095229
2018-09-16,ag,0.0740804917341107,0.11558610780816488,1.8876337693222355e-4,0.04248557176415998,0,0,0,0.005946046373365042,0.026426872770511294,0.022848575712143927,0.22524037723907792,0.4028682372175981,0.017146006738010304,0.2082106087410458,0.002532575307173999,0.0023595422116527943,0.0034921224732461353,0.01648533491874752,0.07507389162561577,0.07411835030760483,0.2517007402861417,0.647615685691637,4.5617816091954023e-4,0.13559886241698327,0.0014786464526357513,0.004648298156956004,0.0010912882728894174,0.03695043103448276,0.11586026414132836,0.12395188181771184
2018-09-23,ag,0.08578382110390854,0.23719166996961288,0.008557273087594134,0.04570836112641745,0,0,0.003964030915576695,0.003083135156559651,0.03399538531226997,0.021157912423098793,0.21998240382033676,0.4156202520147972,0.007990982956797463,0.19651418534845277,6.331438267934997e-4,0.0023595422116527943,0.0034921224732461353,0.015801067677368212,0.08012555914161146,0.06474994183942512,0.2648350178359096,0.5337284482758621,0.037375148632580256,0.1579212827354195,0.0014786464526357513,0.004176389714625446,0,0.034449316290130795,0.11044005860370307,0.11539187302900275
2018-09-30,ag,0.06431350926316597,0.23123513674197385,0.025168450257629805,0.041675270438792385,0,0,0,0.005474137931034483,0.03724930638129211,0.018318254665770563,0.24388837213762418,0.5067562590831021,0.01409433214427269,0.17521154766393088,0,0.0023595422116527943,0.006553628492865637,0.015038149028933807,0.08377498442896777,0.062135979424081056,0.26561442790840395,0.42545692132382085,0.037375148632580256,0.17671705069458543,0.002902236920332937,0.0010440974286563614,0,0.024043735136741975,0.09273675046713097,0.09928132916300472
2018-10-07,ag,0.08094904299796708,0.11952916501519355,0.007047166072136346,0.032992155099910096,0,0,0,0.0080224435196195,0.03424706981484627,0.010767719588481621,0.24159581047907636,0.6124375330294624,0.0350470669837495,0.1471433543110699,0,5.898855529131986e-4,0.004536219901902497,0.01582466309948474,0.10140638270766095,0.06560348058729257,0.2442080520501707,0.41229067578279827,0.040647047166072134,0.1968318602998753,0.002532575307173999,0,0.001203366527942925,0.017523533491874754,0.0877390153445445,0.08569446957555706
